rna-XM_005852746.1	gene-TOMM6	TOMM6
gene-LOC102246286	gene-LOC102246286	LOC102246286
rna-XM_005860567.2	gene-SPTLC3	SPTLC3
rna-XM_005860568.2	gene-ISM1	ISM1
rna-XR_001360976.1	gene-LOC106725104	LOC106725104
rna-XM_014535078.1	gene-LOC102260672	LOC102260672
rna-XM_005860571.2	gene-TASP1	TASP1
rna-XM_014535031.1	gene-TASP1	TASP1
rna-XM_014535033.1	gene-TASP1	TASP1
rna-XM_014535030.1	gene-TASP1	TASP1
rna-XR_001360978.1	gene-TASP1	TASP1
rna-XM_014535032.1	gene-TASP1	TASP1
rna-XR_001360977.1	gene-TASP1	TASP1
gene-LOC102260956	gene-LOC102260956	LOC102260956
rna-XM_014535036.1	gene-ESF1	ESF1
rna-XM_014535034.1	gene-ESF1	ESF1
rna-XM_005860572.2	gene-NDUFAF5	NDUFAF5
rna-XM_005860574.2	gene-SEL1L2	SEL1L2
rna-XM_014535042.1	gene-MACROD2	MACROD2
rna-XM_014535040.1	gene-MACROD2	MACROD2
rna-XM_014535041.1	gene-MACROD2	MACROD2
rna-XM_014535039.1	gene-FLRT3	FLRT3
rna-XM_014535038.1	gene-FLRT3	FLRT3
rna-XM_005860575.2	gene-FLRT3	FLRT3
rna-XM_014535037.1	gene-FLRT3	FLRT3
rna-XM_005860576.2	gene-FLRT3	FLRT3
gene-LOC102245075	gene-LOC102245075	LOC102245075
gene-LOC102245369	gene-LOC102245369	LOC102245369
gene-LOC102262764	gene-LOC102262764	LOC102262764
rna-XM_005860579.2	gene-KIF16B	KIF16B
rna-XM_014535046.1	gene-KIF16B	KIF16B
rna-XM_014535047.1	gene-KIF16B	KIF16B
rna-XM_014535044.1	gene-KIF16B	KIF16B
rna-XM_014535045.1	gene-KIF16B	KIF16B
rna-XM_005860580.2	gene-SNRPB2	SNRPB2
rna-XM_005860581.2	gene-SNRPB2	SNRPB2
rna-XM_005860582.2	gene-OTOR	OTOR
rna-XM_005860583.2	gene-PCSK2	PCSK2
rna-XM_014535076.1	gene-BFSP1	BFSP1
rna-XR_001360979.1	gene-LOC106725105	LOC106725105
rna-XM_005860585.2	gene-DSTN	DSTN
rna-XM_005860586.2	gene-RRBP1	RRBP1
rna-XM_014535048.1	gene-RRBP1	RRBP1
rna-XM_014535049.1	gene-RRBP1	RRBP1
rna-XM_014535051.1	gene-RRBP1	RRBP1
rna-XM_014535052.1	gene-RRBP1	RRBP1
rna-XM_014535053.1	gene-RRBP1	RRBP1
rna-XM_014535054.1	gene-RRBP1	RRBP1
rna-XM_014535055.1	gene-RRBP1	RRBP1
rna-XM_014535056.1	gene-RRBP1	RRBP1
rna-XM_014535057.1	gene-RRBP1	RRBP1
rna-XM_014535058.1	gene-RRBP1	RRBP1
rna-XM_014535059.1	gene-RRBP1	RRBP1
rna-XM_014535060.1	gene-RRBP1	RRBP1
rna-XM_014535061.1	gene-RRBP1	RRBP1
rna-XM_014535062.1	gene-RRBP1	RRBP1
rna-XM_014535063.1	gene-RRBP1	RRBP1
rna-XM_014535064.1	gene-RRBP1	RRBP1
rna-XM_014535065.1	gene-RRBP1	RRBP1
rna-XM_014535077.1	gene-BANF2	BANF2
gene-LOC102241905	gene-LOC102241905	LOC102241905
gene-LOC102242201	gene-LOC102242201	LOC102242201
gene-LOC106725108	gene-LOC106725108	LOC106725108
rna-XM_005860599.2	gene-SNX5	SNX5
rna-XM_014535067.1	gene-SNX5	SNX5
rna-XM_005860596.2	gene-MGME1	MGME1
rna-XM_005860594.2	gene-MGME1	MGME1
rna-XM_005860595.2	gene-MGME1	MGME1
rna-XM_005860597.2	gene-MGME1	MGME1
rna-XM_014535069.1	gene-OVOL2	OVOL2
rna-XM_014535068.1	gene-OVOL2	OVOL2
rna-XM_014535070.1	gene-OVOL2	OVOL2
rna-XM_014535072.1	gene-CSRP2BP	CSRP2BP
rna-XM_005860600.2	gene-CSRP2BP	CSRP2BP
rna-XM_005860601.2	gene-CSRP2BP	CSRP2BP
rna-XM_005860603.2	gene-ZNF133	ZNF133
rna-XM_014535073.1	gene-ZNF133	ZNF133
rna-XM_014535074.1	gene-LOC102248085	LOC102248085
rna-XR_001360980.1	gene-LOC106725107	LOC106725107
rna-XR_001360983.1	gene-LOC106725111	LOC106725111
gene-LOC102248693	gene-LOC102248693	LOC102248693
gene-LOC102248386	gene-LOC102248386	LOC102248386
rna-XR_001360984.1	gene-LOC106725112	LOC106725112
gene-LOC102248991	gene-LOC102248991	LOC102248991
gene-LOC102249284	gene-LOC102249284	LOC102249284
gene-LOC102252547	gene-LOC102252547	LOC102252547
rna-XM_005860610.2	gene-LOC102249585	LOC102249585
rna-XM_005860612.2	gene-LGALS7	LGALS7
gene-LOC102252851	gene-LOC102252851	LOC102252851
rna-XR_001360985.1	gene-LOC106725113	LOC106725113
rna-XM_014535085.1	gene-CAPN12	CAPN12
rna-XM_005860614.2	gene-ACTN4	ACTN4
rna-XM_005860615.2	gene-ACTN4	ACTN4
rna-XM_005860616.2	gene-ACTN4	ACTN4
rna-XM_014535081.1	gene-ACTN4	ACTN4
rna-XR_001360986.1	gene-LOC106725114	LOC106725114
rna-XM_005860617.2	gene-EIF3K	EIF3K
rna-XM_014535086.1	gene-MAP4K1	MAP4K1
rna-XM_014535087.1	gene-RYR1	RYR1
rna-XM_014535082.1	gene-RASGRP4	RASGRP4
rna-XM_014535083.1	gene-RASGRP4	RASGRP4
rna-XR_001360987.1	gene-LOC106725116	LOC106725116
rna-XM_014535084.1	gene-FAM98C	FAM98C
rna-XM_014535089.1	gene-SPRED3	SPRED3
rna-XM_014535090.1	gene-GGN	GGN
rna-XM_005860620.2	gene-PSMD8	PSMD8
rna-XM_014535091.1	gene-LOC106725117	LOC106725117
gene-LOC102254645	gene-LOC102254645	LOC102254645
rna-XR_001360988.1	gene-LOC106725118	LOC106725118
rna-XM_014535093.1	gene-LOC102254941	LOC102254941
rna-XM_014535092.1	gene-LOC106725119	LOC106725119
rna-XR_001360989.1	gene-LOC106725120	LOC106725120
gene-LOC102255239	gene-LOC102255239	LOC102255239
rna-XM_014535095.1	gene-MEI1	MEI1
rna-XM_005860660.2	gene-MEI1	MEI1
rna-XM_014535096.1	gene-CCDC134	CCDC134
rna-XR_313259.2	gene-CCDC134	CCDC134
rna-XM_005860627.2	gene-CCDC134	CCDC134
rna-XM_005860661.2	gene-SREBF2	SREBF2
rna-XM_014535099.1	gene-CENPM	CENPM
rna-XM_014535100.1	gene-CENPM	CENPM
rna-XM_014535098.1	gene-CENPM	CENPM
rna-XM_014535097.1	gene-CENPM	CENPM
rna-XR_001360990.1	gene-SEPT3	SEPT3
rna-XM_005860633.2	gene-SEPT3	SEPT3
rna-XM_014535102.1	gene-SEPT3	SEPT3
rna-XM_005860635.2	gene-SEPT3	SEPT3
rna-XM_005860631.2	gene-SEPT3	SEPT3
rna-XM_005860630.2	gene-SEPT3	SEPT3
rna-XM_005860629.2	gene-SEPT3	SEPT3
rna-XR_313260.2	gene-SEPT3	SEPT3
rna-XR_001360991.1	gene-LOC106725121	LOC106725121
rna-XM_014535121.1	gene-WBP2NL	WBP2NL
gene-LOC102257978	gene-LOC102257978	LOC102257978
rna-XM_014535103.1	gene-NAGA	NAGA
rna-XM_014535104.1	gene-FAM109B	FAM109B
rna-XM_005860638.2	gene-SMDT1	SMDT1
rna-XM_014535109.1	gene-NDUFA6	NDUFA6
rna-XM_014535108.1	gene-LOC106725123	LOC106725123
rna-XM_014535105.1	gene-LOC102241505	LOC102241505
rna-XM_014535107.1	gene-LOC102241505	LOC102241505
rna-XM_005860642.2	gene-TCF20	TCF20
rna-XM_005860639.2	gene-TCF20	TCF20
rna-XM_005860641.2	gene-TCF20	TCF20
rna-XM_005860643.2	gene-NFAM1	NFAM1
rna-XM_014535110.1	gene-NFAM1	NFAM1
rna-XM_014535111.1	gene-NFAM1	NFAM1
rna-XM_005860646.2	gene-SERHL2	SERHL2
rna-XR_313261.2	gene-LOC102260371	LOC102260371
rna-XM_005860644.2	gene-RRP7A	RRP7A
rna-XM_005860647.2	gene-POLDIP3	POLDIP3
rna-XM_014535112.1	gene-LOC102241808	LOC102241808
rna-XM_014535122.1	gene-A4GALT	A4GALT
rna-XM_014535123.1	gene-ARFGAP3	ARFGAP3
rna-XM_014535113.1	gene-PACSIN2	PACSIN2
rna-XM_014535114.1	gene-PACSIN2	PACSIN2
gene-LOC102243022	gene-LOC102243022	LOC102243022
gene-LOC102262024	gene-LOC102262024	LOC102262024
rna-XR_001360992.1	gene-LOC106725125	LOC106725125
rna-XR_001360993.1	gene-LOC106725126	LOC106725126
rna-XM_005860653.2	gene-TTLL1	TTLL1
rna-XM_005860654.2	gene-BIK	BIK
rna-XM_014535124.1	gene-MCAT	MCAT
rna-XM_005860669.2	gene-TSPO	TSPO
rna-XM_014535125.1	gene-TTLL12	TTLL12
rna-XM_005860671.2	gene-SCUBE1	SCUBE1
rna-XM_014535126.1	gene-MPPED1	MPPED1
rna-XM_014535127.1	gene-EFCAB6	EFCAB6
rna-XM_014535129.1	gene-SULT4A1	SULT4A1
rna-XM_014535116.1	gene-PNPLA5	PNPLA5
rna-XR_001360994.1	gene-LOC106725127	LOC106725127
rna-XM_014535130.1	gene-LOC102245670	LOC102245670
rna-XM_005860655.2	gene-LOC102263864	LOC102263864
rna-XM_014535131.1	gene-SAMM50	SAMM50
rna-XR_001360996.1	gene-LOC106725129	LOC106725129
rna-XR_001360995.1	gene-LOC106725129	LOC106725129
rna-XM_014535117.1	gene-LOC106725128	LOC106725128
rna-XM_014535119.1	gene-PARVB	PARVB
rna-XM_014535118.1	gene-PARVG	PARVG
rna-XM_014535132.1	gene-KIAA1644	KIAA1644
rna-XM_005860658.2	gene-LDOC1L	LDOC1L
rna-XR_001360997.1	gene-LOC106725130	LOC106725130
rna-XM_014535133.1	gene-PRR5	PRR5
rna-XM_005860680.2	gene-LOC102246905	LOC102246905
rna-XM_005860684.2	gene-CHIC1	CHIC1
rna-XM_014535134.1	gene-CHIC1	CHIC1
rna-XM_005860683.2	gene-CHIC1	CHIC1
rna-XM_005860685.2	gene-CHIC1	CHIC1
gene-LOC102248694	gene-LOC102248694	LOC102248694
rna-XM_005860681.2	gene-LOC102247210	LOC102247210
rna-XR_001361001.1	gene-LOC106725133	LOC106725133
rna-XR_001360998.1	gene-LOC106725131	LOC106725131
rna-XR_001360999.1	gene-LOC106725132	LOC106725132
rna-XR_001361000.1	gene-LOC106725132	LOC106725132
rna-XR_001361002.1	gene-LOC106725134	LOC106725134
gene-LOC102248387	gene-LOC102248387	LOC102248387
rna-XM_005860686.2	gene-SLC13A4	SLC13A4
rna-XR_001361003.1	gene-LOC106725135	LOC106725135
rna-XM_005860687.2	gene-NUP205	NUP205
rna-XM_014535135.1	gene-NUP205	NUP205
gene-LOC102254942	gene-LOC102254942	LOC102254942
rna-XM_005860688.2	gene-CNOT4	CNOT4
rna-XM_005860693.2	gene-CNOT4	CNOT4
rna-XM_005860689.2	gene-CNOT4	CNOT4
rna-XM_005860690.2	gene-CNOT4	CNOT4
rna-XM_005860691.2	gene-CNOT4	CNOT4
rna-XM_005860692.2	gene-CNOT4	CNOT4
rna-XM_014535140.1	gene-CNOT4	CNOT4
rna-XM_014535141.1	gene-CNOT4	CNOT4
rna-XM_014535136.1	gene-CNOT4	CNOT4
rna-XM_014535139.1	gene-CNOT4	CNOT4
rna-XM_014535138.1	gene-CNOT4	CNOT4
rna-XM_014535137.1	gene-CNOT4	CNOT4
gene-LOC102249586	gene-LOC102249586	LOC102249586
gene-LOC102255848	gene-LOC102255848	LOC102255848
rna-XM_014535145.1	gene-LOC102251183	LOC102251183
rna-XM_014535146.1	gene-LOC102251183	LOC102251183
rna-XM_014535143.1	gene-LOC102251183	LOC102251183
rna-XM_014535144.1	gene-LOC102251183	LOC102251183
rna-XM_014535160.1	gene-STRA8	STRA8
rna-XM_014535142.1	gene-WDR91	WDR91
rna-XM_014535148.1	gene-LOC102252366	LOC102252366
rna-XM_005860698.2	gene-LOC102252366	LOC102252366
rna-XM_014535147.1	gene-LOC102252366	LOC102252366
rna-XM_005860696.2	gene-TMEM140	TMEM140
rna-XM_005860695.2	gene-TMEM140	TMEM140
rna-XM_005860697.2	gene-TMEM140	TMEM140
rna-XR_313263.2	gene-LOC102251470	LOC102251470
rna-XM_014535149.1	gene-AGBL3	AGBL3
rna-XM_014535152.1	gene-CALD1	CALD1
rna-XM_014535151.1	gene-CALD1	CALD1
rna-XM_014535150.1	gene-CALD1	CALD1
rna-XM_014535154.1	gene-CALD1	CALD1
rna-XM_005860703.2	gene-CALD1	CALD1
rna-XM_014535153.1	gene-CALD1	CALD1
gene-LOC102255241	gene-LOC102255241	LOC102255241
gene-LOC106725136	gene-LOC106725136	LOC106725136
rna-XR_001361008.1	gene-LOC106725139	LOC106725139
rna-XM_005860705.2	gene-BPGM	BPGM
rna-XR_001361007.1	gene-LOC106725138	LOC106725138
rna-XR_001361004.1	gene-LOC106725137	LOC106725137
rna-XR_001361006.1	gene-LOC106725137	LOC106725137
rna-XR_001361005.1	gene-LOC106725137	LOC106725137
rna-XR_001361009.1	gene-LOC106725140	LOC106725140
rna-XM_005860706.2	gene-AKR1B10	AKR1B10
rna-XM_014535161.1	gene-AKR1B1	AKR1B1
rna-XM_005860707.2	gene-SLC35B4	SLC35B4
rna-XM_014535156.1	gene-SLC35B4	SLC35B4
rna-XM_014535157.1	gene-SLC35B4	SLC35B4
rna-XM_014535159.1	gene-SLC35B4	SLC35B4
rna-XM_014535155.1	gene-SLC35B4	SLC35B4
rna-XM_014535158.1	gene-SLC35B4	SLC35B4
gene-LOC102258180	gene-LOC102258180	LOC102258180
rna-XM_005860711.2	gene-LOC102257045	LOC102257045
rna-XM_014535163.1	gene-LOC102257045	LOC102257045
rna-XM_014535164.1	gene-LOC102257045	LOC102257045
rna-XR_001361010.1	gene-LOC102257361	LOC102257361
rna-XM_005860712.2	gene-LOC102257667	LOC102257667
rna-XM_005860713.2	gene-LOC102257667	LOC102257667
rna-XM_014535165.1	gene-LOC106725141	LOC106725141
rna-XM_014535191.1	gene-LOC106725147	LOC106725147
rna-XR_001361016.1	gene-LOC106725151	LOC106725151
rna-XM_014535192.1	gene-LOC106725148	LOC106725148
rna-XM_005860744.2	gene-LOC102242713	LOC102242713
rna-XM_014535194.1	gene-TIAM1	TIAM1
rna-XR_001361011.1	gene-LOC106725142	LOC106725142
rna-XR_001361017.1	gene-LOC106725152	LOC106725152
rna-XM_005860714.2	gene-SOD1	SOD1
rna-XM_014535166.1	gene-SCAF4	SCAF4
rna-XR_001361018.1	gene-LOC106725153	LOC106725153
rna-XM_014535195.1	gene-HUNK	HUNK
rna-XM_014535196.1	gene-URB1	URB1
rna-XM_014535167.1	gene-LOC102244186	LOC102244186
rna-XM_014535197.1	gene-SYNJ1	SYNJ1
rna-XM_014535198.1	gene-PAXBP1	PAXBP1
rna-XM_014535204.1	gene-LOC102245372	LOC102245372
rna-XM_014535168.1	gene-IFNAR2	IFNAR2
rna-XM_005860717.2	gene-IFNAR2	IFNAR2
rna-XM_005860753.2	gene-IL10RB	IL10RB
rna-XM_014535199.1	gene-IFNAR1	IFNAR1
gene-LOC102259764	gene-LOC102259764	LOC102259764
rna-XM_014535169.1	gene-IFNGR2	IFNGR2
rna-XM_014535170.1	gene-TMEM50B	TMEM50B
rna-XM_014535172.1	gene-TMEM50B	TMEM50B
rna-XR_001361012.1	gene-TMEM50B	TMEM50B
rna-XM_014535171.1	gene-TMEM50B	TMEM50B
rna-XM_005860720.2	gene-DNAJC28	DNAJC28
rna-XM_005860721.2	gene-DNAJC28	DNAJC28
rna-XM_005860722.2	gene-DNAJC28	DNAJC28
rna-XM_014535176.1	gene-GART	GART
rna-XM_014535178.1	gene-GART	GART
rna-XM_005860730.2	gene-GART	GART
rna-XM_014535174.1	gene-GART	GART
rna-XM_014535175.1	gene-GART	GART
rna-XM_014535177.1	gene-GART	GART
rna-XM_005860729.2	gene-SON	SON
rna-XM_005860728.2	gene-SON	SON
rna-XM_005860727.2	gene-SON	SON
rna-XM_005860726.2	gene-SON	SON
rna-XM_005860724.2	gene-SON	SON
rna-XM_014535173.1	gene-SON	SON
rna-XM_014535179.1	gene-DONSON	DONSON
rna-XM_014535182.1	gene-CRYZL1	CRYZL1
rna-XM_014535183.1	gene-CRYZL1	CRYZL1
rna-XM_005860731.2	gene-CRYZL1	CRYZL1
rna-XM_005860732.2	gene-CRYZL1	CRYZL1
rna-XM_014535181.1	gene-CRYZL1	CRYZL1
rna-XM_014535200.1	gene-ITSN1	ITSN1
gene-LOC102241810	gene-LOC102241810	LOC102241810
rna-XR_001361015.1	gene-LOC106725146	LOC106725146
rna-XM_005860733.2	gene-ATP5O	ATP5O
rna-XM_014535185.1	gene-MRPS6	MRPS6
rna-XM_014535186.1	gene-MRPS6	MRPS6
rna-XM_014535184.1	gene-MRPS6	MRPS6
rna-XM_005860735.2	gene-SLC5A3	SLC5A3
rna-XM_005860734.2	gene-SLC5A3	SLC5A3
rna-XR_001361019.1	gene-LOC106725154	LOC106725154
rna-XR_313265.2	gene-LOC102239356	LOC102239356
rna-XR_313266.2	gene-LOC102239356	LOC102239356
rna-XM_005860740.2	gene-KCNE2	KCNE2
rna-XM_014535188.1	gene-KCNE2	KCNE2
rna-XM_014535189.1	gene-SMIM11A	SMIM11A
rna-XM_005860738.2	gene-LOC102240290	LOC102240290
rna-XM_014535201.1	gene-LOC106725150	LOC106725150
rna-XM_005860757.2	gene-LOC102246906	LOC102246906
rna-XM_014535190.1	gene-RCAN1	RCAN1
rna-XM_005860741.2	gene-RCAN1	RCAN1
rna-XM_014535202.1	gene-LOC102241507	LOC102241507
rna-XM_014535203.1	gene-RUNX1	RUNX1
rna-XR_001361020.1	gene-LOC106725155	LOC106725155
gene-LOC102248588	gene-LOC102248588	LOC102248588
gene-LOC106725156	gene-LOC106725156	LOC106725156
rna-XR_001361026.1	gene-LOC102247791	LOC102247791
rna-XR_001361023.1	gene-LOC102247791	LOC102247791
rna-XR_001361021.1	gene-LOC102247791	LOC102247791
rna-XR_001361024.1	gene-LOC102247791	LOC102247791
rna-XR_001361022.1	gene-LOC102247791	LOC102247791
rna-XR_001361025.1	gene-LOC102247791	LOC102247791
rna-XM_005860759.2	gene-LOC102247791	LOC102247791
rna-XM_014535206.1	gene-LOC102247791	LOC102247791
rna-XM_014535207.1	gene-LOC102247791	LOC102247791
rna-XM_005860760.2	gene-CDK20	CDK20
rna-XM_014535208.1	gene-CDK20	CDK20
rna-XM_005860762.2	gene-MAD2L1	MAD2L1
rna-XM_014535209.1	gene-PDE5A	PDE5A
rna-XM_014535231.1	gene-LOC102256451	LOC102256451
rna-XM_005860764.2	gene-CTSO	CTSO
rna-XM_005860765.2	gene-TDO2	TDO2
rna-XM_005860766.2	gene-ASIC5	ASIC5
rna-XM_005860767.2	gene-GUCY1B3	GUCY1B3
rna-XM_014535211.1	gene-GUCY1A3	GUCY1A3
rna-XM_005860771.2	gene-GUCY1A3	GUCY1A3
rna-XM_005860769.2	gene-GUCY1A3	GUCY1A3
rna-XM_005860770.2	gene-GUCY1A3	GUCY1A3
rna-XM_005860768.2	gene-GUCY1A3	GUCY1A3
rna-XM_014535218.1	gene-LOC102251567	LOC102251567
rna-XM_005860772.2	gene-LOC102251567	LOC102251567
rna-XM_014535217.1	gene-LOC102251567	LOC102251567
rna-XR_001361028.1	gene-LOC102251567	LOC102251567
rna-XM_005860773.2	gene-MAP9	MAP9
rna-XM_014535212.1	gene-MAP9	MAP9
rna-XM_014535215.1	gene-MAP9	MAP9
rna-XM_014535216.1	gene-MAP9	MAP9
rna-XM_014535213.1	gene-MAP9	MAP9
rna-XR_001361033.1	gene-LOC102256744	LOC102256744
rna-XM_005860775.2	gene-SPOCK3	SPOCK3
rna-XR_001361034.1	gene-LOC106725163	LOC106725163
gene-LOC102257047	gene-LOC102257047	LOC102257047
rna-XM_014535232.1	gene-ANXA10	ANXA10
rna-XM_014535219.1	gene-LOC102257669	LOC102257669
rna-XM_014535222.1	gene-LOC102257980	LOC102257980
rna-XM_014535220.1	gene-LOC102257980	LOC102257980
rna-XM_014535221.1	gene-LOC102257980	LOC102257980
rna-XM_014535223.1	gene-LOC102257980	LOC102257980
rna-XM_014535228.1	gene-LOC106725161	LOC106725161
gene-LOC102258284	gene-LOC102258284	LOC102258284
rna-XM_014535224.1	gene-PALLD	PALLD
gene-LOC102258580	gene-LOC102258580	LOC102258580
rna-XM_005860776.2	gene-CBR4	CBR4
gene-LOC106725162	gene-LOC106725162	LOC106725162
gene-LOC102258875	gene-LOC102258875	LOC102258875
rna-XM_005860779.2	gene-SH3RF1	SH3RF1
rna-XM_005860778.2	gene-SH3RF1	SH3RF1
rna-XR_001361029.1	gene-LOC106725157	LOC106725157
rna-XM_014535229.1	gene-NEK1	NEK1
rna-XM_005860780.2	gene-CLCN3	CLCN3
rna-XM_014535225.1	gene-CLCN3	CLCN3
rna-XM_005860782.2	gene-CLCN3	CLCN3
rna-XM_005860781.2	gene-CLCN3	CLCN3
rna-XM_005860784.2	gene-CLCN3	CLCN3
rna-XM_005860783.2	gene-CLCN3	CLCN3
rna-XR_001361030.1	gene-LOC106725159	LOC106725159
rna-XM_005860785.2	gene-LOC102255039	LOC102255039
rna-XR_001361031.1	gene-LOC106725160	LOC106725160
rna-XR_001361035.1	gene-LOC106725164	LOC106725164
rna-XM_005860786.2	gene-MFAP3L	MFAP3L
rna-XM_005860787.2	gene-AADAT	AADAT
rna-XR_001361032.1	gene-AADAT	AADAT
rna-XM_014535226.1	gene-AADAT	AADAT
rna-XM_014535227.1	gene-AADAT	AADAT
gene-LOC102259458	gene-LOC102259458	LOC102259458
gene-LOC102256155	gene-LOC102256155	LOC102256155
rna-XM_014535238.1	gene-ADAMTS9	ADAMTS9
rna-XR_001361036.1	gene-LOC106725166	LOC106725166
rna-XM_014535239.1	gene-MAGI1	MAGI1
gene-LOC102238636	gene-LOC102238636	LOC102238636
gene-LOC102238951	gene-LOC102238951	LOC102238951
rna-XM_005860796.2	gene-SLC25A26	SLC25A26
rna-XM_014535233.1	gene-SLC25A26	SLC25A26
rna-XM_005860797.2	gene-SLC25A26	SLC25A26
rna-XM_005860795.2	gene-SLC25A26	SLC25A26
gene-LOC106725167	gene-LOC106725167	LOC106725167
rna-XM_014535240.1	gene-LRIG1	LRIG1
rna-XM_005860799.2	gene-LOC102262026	LOC102262026
rna-XR_001361039.1	gene-LOC106725170	LOC106725170
gene-LOC102239563	gene-LOC102239563	LOC102239563
rna-XM_005860801.2	gene-KBTBD8	KBTBD8
rna-XM_005860802.2	gene-KBTBD8	KBTBD8
rna-XM_005860800.2	gene-KBTBD8	KBTBD8
rna-XM_014535235.1	gene-KBTBD8	KBTBD8
rna-XM_014535236.1	gene-KBTBD8	KBTBD8
rna-XR_001361037.1	gene-LOC106725168	LOC106725168
rna-XM_014535237.1	gene-SUCLG2	SUCLG2
rna-XR_001361038.1	gene-LOC106725169	LOC106725169
gene-LOC102263372	gene-LOC102263372	LOC102263372
rna-XM_005860807.1	gene-LOC102239882	LOC102239882
rna-XM_005860808.1	gene-FAM19A1	FAM19A1
rna-XM_005860811.2	gene-RNF144B	RNF144B
rna-XM_014535241.1	gene-RNF144B	RNF144B
rna-XM_014535242.1	gene-RNF144B	RNF144B
rna-XM_005860809.2	gene-RNF144B	RNF144B
rna-XM_005860810.2	gene-RNF144B	RNF144B
rna-XR_001361040.1	gene-LOC106725172	LOC106725172
gene-LOC102243328	gene-LOC102243328	LOC102243328
rna-XM_005860812.2	gene-LOC102241508	LOC102241508
rna-XM_005860813.2	gene-LOC102241811	LOC102241811
gene-LOC106725171	gene-LOC106725171	LOC106725171
gene-LOC106725173	gene-LOC106725173	LOC106725173
rna-XM_005860816.2	gene-PPM1K	PPM1K
rna-XM_005860815.2	gene-PPM1K	PPM1K
rna-XM_005860814.2	gene-PPM1K	PPM1K
rna-XM_014535243.1	gene-PPM1K	PPM1K
rna-XM_014535244.1	gene-LOC102242814	LOC102242814
gene-LOC102243602	gene-LOC102243602	LOC102243602
rna-XR_001361041.1	gene-LOC106725174	LOC106725174
rna-XM_005860817.1	gene-LOC102243895	LOC102243895
rna-XR_001361042.1	gene-LOC106725175	LOC106725175
rna-XM_005860818.2	gene-LOC102244187	LOC102244187
rna-XM_005860820.1	gene-TRIM6	TRIM6
rna-XM_014535247.1	gene-LOC102247133	LOC102247133
rna-XM_005860827.1	gene-LOC102247426	LOC102247426
rna-XM_005860828.1	gene-LOC102247708	LOC102247708
rna-XM_014535246.1	gene-LOC102244991	LOC102244991
rna-XM_005860829.1	gene-LOC102248005	LOC102248005
rna-XM_014535248.1	gene-LOC102248292	LOC102248292
rna-XM_005860821.1	gene-UBQLN3	UBQLN3
rna-XM_005860830.1	gene-LOC102248589	LOC102248589
rna-XM_005860822.1	gene-LOC102245586	LOC102245586
rna-XM_005860823.1	gene-LOC102245886	LOC102245886
rna-XM_014535249.1	gene-LOC102246195	LOC102246195
rna-XM_005860824.2	gene-LOC102246507	LOC102246507
rna-XM_005860825.1	gene-LOC102246812	LOC102246812
gene-LOC102248893	gene-LOC102248893	LOC102248893
gene-LOC102249193	gene-LOC102249193	LOC102249193
rna-XM_005860844.2	gene-FAM20C	FAM20C
rna-XM_014535265.1	gene-PDGFA	PDGFA
rna-XM_014535266.1	gene-PRKAR1B	PRKAR1B
rna-XR_001361043.1	gene-LOC106725177	LOC106725177
rna-XM_014535267.1	gene-DNAAF5	DNAAF5
rna-XM_005860834.2	gene-SUN1	SUN1
rna-XM_014535253.1	gene-SUN1	SUN1
rna-XM_005860833.2	gene-SUN1	SUN1
rna-XM_014535251.1	gene-SUN1	SUN1
rna-XM_014535254.1	gene-SUN1	SUN1
rna-XM_014535255.1	gene-SUN1	SUN1
rna-XM_014535256.1	gene-SUN1	SUN1
rna-XM_014535257.1	gene-SUN1	SUN1
rna-XM_014535259.1	gene-SUN1	SUN1
rna-XM_014535260.1	gene-SUN1	SUN1
rna-XM_014535261.1	gene-SUN1	SUN1
rna-XM_005860832.2	gene-SUN1	SUN1
rna-XM_014535252.1	gene-SUN1	SUN1
rna-XM_014535268.1	gene-GET4	GET4
rna-XM_014535269.1	gene-ADAP1	ADAP1
rna-XM_014535270.1	gene-LOC102252652	LOC102252652
rna-XM_014535271.1	gene-LOC106725180	LOC106725180
rna-XM_014535272.1	gene-GPR146	GPR146
rna-XM_005860839.1	gene-GPER1	GPER1
rna-XM_005860838.2	gene-GPER1	GPER1
rna-XR_001361047.1	gene-LOC106725178	LOC106725178
rna-XR_001361045.1	gene-LOC106725178	LOC106725178
rna-XR_001361044.1	gene-LOC106725178	LOC106725178
rna-XR_001361046.1	gene-LOC106725178	LOC106725178
rna-XR_001361048.1	gene-LOC106725178	LOC106725178
rna-XM_014535262.1	gene-ZFAND2A	ZFAND2A
rna-XM_005860841.2	gene-ZFAND2A	ZFAND2A
rna-XM_014535263.1	gene-ZFAND2A	ZFAND2A
rna-XM_014535264.1	gene-ZFAND2A	ZFAND2A
rna-XR_313269.2	gene-LOC102252263	LOC102252263
rna-XM_014535273.1	gene-MICALL2	MICALL2
rna-XM_014535274.1	gene-INTS1	INTS1
gene-LOC106725182	gene-LOC106725182	LOC106725182
rna-XM_014535277.1	gene-ALX1	ALX1
rna-XM_005860851.2	gene-ALX1	ALX1
rna-XM_014535275.1	gene-LRRIQ1	LRRIQ1
rna-XM_005860852.2	gene-TSPAN19	TSPAN19
rna-XM_005860853.2	gene-SLC6A15	SLC6A15
rna-XM_005860854.2	gene-SLC6A15	SLC6A15
rna-XM_005860856.2	gene-SLC6A15	SLC6A15
